timestamp,domain,query_type,dnssec,protocol,client_ip,status,reasons,destination_country,root_domain,device_id,device_name,device_model,device_local_ip,matched_name,client_name
2026-06-03T08:57:20.579Z,www.pppefa.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,,pppefa.com,,,,,,
2026-06-03T08:57:20.579Z,www.pppefa.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,US,pppefa.com,,,,,,
2026-06-03T08:56:44.371Z,mirror.cyberbits.eu,A,true,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,FR,cyberbits.eu,,,,,,
2026-06-03T08:56:44.323Z,mirror.cyberbits.eu,A,true,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,FR,cyberbits.eu,,,,,,
2026-06-03T08:56:44.276Z,mirror.cyberbits.eu,AAAA,true,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,FR,cyberbits.eu,,,,,,
2026-06-03T08:56:37.384Z,mirror.eu.ossplanet.net,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,DE,ossplanet.net,,,,,,
2026-06-03T08:56:37.384Z,mirror.eu.ossplanet.net,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,FI,ossplanet.net,,,,,,
2026-06-03T08:55:46.736Z,content-autofill.googleapis.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,content-autofill.googleapis.com,,,,,,
2026-06-03T08:55:46.736Z,content-autofill.googleapis.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist",,content-autofill.googleapis.com,,,,,,
2026-06-03T08:55:22.386Z,web.facebook.com,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist,blocklist:hagezi-multi-ultimate",,facebook.com,,,,,,
2026-06-03T08:55:22.386Z,web.facebook.com,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,blocked,"blacklist,blocklist:hagezi-multi-ultimate",,facebook.com,,,,,,
2026-06-03T08:54:46.982Z,dke6cnrux5c-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:46.938Z,dke6cnrux5c-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:45.037Z,nio1jyqato-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:44.991Z,nio1jyqato-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:42.875Z,exqvr09dmcl-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:42.828Z,exqvr09dmcl-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:40.702Z,1iu5lkfjsb9-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:40.659Z,1iu5lkfjsb9-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:38.526Z,xdz0d5cf0q-4db84a.test.nextdns.io,AAAA,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:38.482Z,xdz0d5cf0q-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
2026-06-03T08:54:36.352Z,tpu6t45bklh-4db84a.test.nextdns.io,A,false,DNS-over-TLS,2806:268:3402:873:140c:dfd:691b:fe1c,,,MX,nextdns.io,,,,,,
